Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Telangana,310.84,96,Medium,17-02-2022,5,Ice Cream,Dodla Dairy,222.4,85.72,19064.128,25,Frozen,27-12-2021,21-01-2022,7,82.24,575.68,Madhya Pradesh,Wholesale,215,19.55,64.03
Uttar Pradesh,19.19,44,Large,01-12-2021,1,Milk,Amul,687.48,42.61,29293.5228,22,Tetra Pack,03-10-2021,25-10-2021,558,39.24,21895.92,Kerala,Wholesale,129,43.17,181.1
Tamil Nadu,581.69,24,Medium,28-02-2022,4,Yogurt,Dodla Dairy,503.48,36.5,18377.02,30,Refrigerated,14-01-2022,13-02-2022,256,33.81,8655.36,Madhya Pradesh,Online,247,15.1,140.83
Telangana,908,89,Small,09-06-2019,3,Cheese,Britannia Industries,823.36,26.52,21835.5072,72,Frozen,15-05-2019,26-07-2019,601,28.92,17380.92,Rajasthan,Online,222,74.5,57.68
Maharashtra,861.95,21,Medium,14-12-2020,8,Buttermilk,Mother Dairy,147.77,83.85,12390.5145,11,Refrigerated,17-10-2020,28-10-2020,145,83.07,12045.15,Jharkhand,Retail,2,76.02,33.4
Telangana,87.64,51,Medium,07-01-2019,6,Curd,Raj,593.92,85.54,50803.9168,5,Refrigerated,03-01-2019,08-01-2019,74,84.75,6271.5,Gujarat,Retail,519,55.6,139.59
Karnataka,73.28,74,Small,05-08-2022,3,Cheese,Dynamix Dairies,757.14,36.83,27885.4662,83,Frozen,14-06-2022,05-09-2022,410,32.66,13390.6,Karnataka,Online,347,49.82,105.86
Bihar,67.61,77,Medium,14-02-2019,9,Paneer,Mother Dairy,203.36,29.08,5913.7088,14,Refrigerated,06-01-2019,20-01-2019,15,29.09,436.35,Haryana,Online,188,10.9,25.14
West Bengal,72.31,76,Medium,02-08-2020,6,Curd,Raj,949.12,22.79,21630.4448,6,Refrigerated,06-06-2020,12-06-2020,860,24.77,21302.2,Jharkhand,Wholesale,89,85.71,32.03
Telangana,413.24,36,Large,04-03-2022,8,Buttermilk,Mother Dairy,385.64,42.08,16227.7312,9,Refrigerated,03-02-2022,12-02-2022,108,46.15,4984.2,Tamil Nadu,Retail,277,93.61,66.26
